股票代码,股票名称,记录编号,公告日期,分红年度,分配类型,实施年度,方案进度,送股(股/10股),转增(股/10股),派息税前(元/10股),每股派息税前(元),除权除息日,股权登记日,红股上市日,明细页税前红利(元),明细页税后红利(元),股东大会决议公告日,红利到账日,含现金分红,含送股,含转增,数据来源
000001,平安银行,000001-2026-09-17,2026-09-17,2026,中期/特别分配（推断）,2026,实施,0.0,0.0,2.49,0.249,2026-09-24,2026-09-23,,2.49,2.49,2024-05-25,2026-09-24,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2026-09-17
000001,平安银行,000001-2026-06-05,2026-06-05,2025,年度分配（推断）,2026,实施,0.0,0.0,3.6,0.36,2026-06-12,2026-06-11,,3.6,3.6,2026-05-23,2026-06-12,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2026-06-05
000001,平安银行,000001-2025-09-30,2025-09-30,2025,中期/特别分配（推断）,2025,实施,0.0,0.0,2.36,0.236,2025-10-15,2025-10-14,,2.36,2.36,2024-05-25,2025-10-15,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2025-09-30
000001,平安银行,000001-2025-06-05,2025-06-05,2024,年度分配（推断）,2025,实施,0.0,0.0,3.62,0.362,2025-06-12,2025-06-11,,3.62,3.62,2025-05-24,2025-06-12,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2025-06-05
000001,平安银行,000001-2024-09-26,2024-09-26,2024,中期/特别分配（推断）,2024,实施,0.0,0.0,2.46,0.246,2024-10-10,2024-10-09,,2.46,2.46,2024-05-25,2024-10-10,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2024-09-26
000001,平安银行,000001-2024-06-06,2024-06-06,2023,年度分配（推断）,2024,实施,0.0,0.0,7.19,0.719,2024-06-14,2024-06-13,,7.19,7.19,2024-05-25,2024-06-14,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2024-06-06
000001,平安银行,000001-2023-06-07,2023-06-07,2022,年度分配（推断）,2023,实施,0.0,0.0,2.85,0.285,2023-06-14,2023-06-13,,2.85,2.85,2023-06-01,2023-06-14,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2023-06-07
000001,平安银行,000001-2022-07-15,2022-07-15,2021,年度分配（推断）,2022,实施,0.0,0.0,2.28,0.228,2022-07-22,2022-07-21,,2.28,2.28,2022-06-29,2022-07-22,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2022-07-15
000001,平安银行,000001-2021-05-07,2021-05-07,2020,年度分配（推断）,2021,实施,0.0,0.0,1.8,0.18,2021-05-14,2021-05-13,,1.8,1.8,2021-04-09,2021-05-14,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2021-05-07
000001,平安银行,000001-2020-05-22,2020-05-22,2019,年度分配（推断）,2020,实施,0.0,0.0,2.18,0.218,2020-05-28,2020-05-27,,2.18,2.18,2020-05-15,2020-05-28,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2020-05-22
000001,平安银行,000001-2019-06-20,2019-06-20,2018,年度分配（推断）,2019,实施,0.0,0.0,1.45,0.145,2019-06-26,2019-06-25,,1.45,1.45,2019-05-31,2019-06-26,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2019-06-20
000001,平安银行,000001-2018-07-06,2018-07-06,2017,年度分配（推断）,2018,实施,0.0,0.0,1.36,0.136,2018-07-12,2018-07-11,,1.36,1.36,2018-06-21,2018-07-12,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2018-07-06
000001,平安银行,000001-2017-07-17,2017-07-17,2016,年度分配（推断）,2017,实施,0.0,0.0,1.58,0.158,2017-07-21,2017-07-20,,1.58,1.58,2017-06-30,2017-07-21,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2017-07-17
000001,平安银行,000001-2016-06-08,2016-06-08,2015,年度分配（推断）,2016,实施,0.0,2.0,1.53,0.153,2016-06-16,2016-06-15,,1.53,,2016-05-20,2016-06-16,是,否,是,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2016-06-08
000001,平安银行,000001-2015-04-07,2015-04-07,2014,年度分配（推断）,2015,实施,0.0,2.0,1.74,0.174,2015-04-13,2015-04-10,,1.74,,2015-04-03,2015-04-13,是,否,是,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2015-04-07
000001,平安银行,000001-2014-06-06,2014-06-06,2013,年度分配（推断）,2014,实施,0.0,2.0,1.6,0.16,2014-06-12,2014-06-11,,1.6,,2014-05-23,2014-06-12,是,否,是,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2014-06-06
000001,平安银行,000001-2013-06-14,2013-06-14,2012,年度分配（推断）,2013,实施,6.0,0.0,1.7,0.17,2013-06-20,2013-06-19,,1.7,,2013-05-24,2013-06-20,是,是,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2013-06-14
000001,平安银行,000001-2012-10-12,2012-10-12,2012,中期/特别分配（推断）,2012,实施,0.0,0.0,1.0,0.1,2012-10-19,2012-10-18,,1.0,0.9,2012-09-01,2012-10-19,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2012-10-12
000001,平安银行,000001-2012-03-09,2012-03-09,2011,年度分配（推断）,2012,不分配,0.0,0.0,0.0,0.0,,,,,,,,否,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2012-03-09
000001,平安银行,000001-2011-02-25,2011-02-25,2010,年度分配（推断）,2011,不分配,0.0,0.0,0.0,0.0,,,,,,,,否,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2011-02-25
000001,平安银行,000001-2010-03-12,2010-03-12,2009,年度分配（推断）,2010,不分配,0.0,0.0,0.0,0.0,,,,,,,,否,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2010-03-12
